,question,answer
1,我度数500度，散光200度可以做全飞秒手术吗？,按照您的度数和散光来看可以选择全飞秒手术，全飞秒手术可以做1000度以内的近视和散光500度内的 ，但是否适合做手术，还需要做检查和医生的具体评估，建议您来医院先做个检查。
2,我今天术检明天手术怎么滴药水？,"①左氧氟沙星滴眼液：5分钟一次，连续6次；然后改为一个小时滴，滴到睡觉前；第二天起床2小时一次，滴到在医院就诊为止。
②普拉洛芬滴眼液：一天4次。
③玻璃酸钠滴眼液：一天4次。
任意两种药水之间，中间需要间隔五分钟。"
3,我去做验光检查摘了隐形眼镜后需要休息几分钟再测吗？,如果检查的目的是判断是否适合做手术，是不是摘下来休息都可以的；如果是确定要做手术，那需要在手术之前等隐形眼镜摘了一星期后再复查一次。
4,做完手术后眼球会往外突吗？,这个是不会的。
5,近视手术后容易视网膜脱落吗？,视网膜是否脱落和近视手术无关。一般来说，近视超过600度出现视网膜脱落几率高，还有一部分人是先天因素的原因。外力和外伤也是一种诱发因素。
6,ok镜、全飞秒手术和晶体植入术的区别是什么？,"①ok镜：费用在4000-5000，特点是不用动手术，风险小；主要适用于8-18岁学龄人群；每2年需换一副，长久看费用高。
②全飞秒手术：可以将散光一起矫正；费用相对低；角膜损伤不可逆、术后不可以戴美瞳。
③晶体植入术ICL（不带散光）：费用在36000—40000，手术时可以将散光一起矫正；费用相对低；角膜损伤不可逆、术后不可以戴美瞳。
④晶体植入术ICL（带散光）：费用在45000—50000，手术时可以将散光一起矫正；费用相对低；角膜损伤不可逆、术后不可以戴美瞳。"
7,全飞秒和半飞秒有什么区别？做手术疼不疼？,全飞秒伤口小，微创，恢复快，安全。半飞秒则相反，手术会在您眼睛里表麻眼药水，不会感觉到疼的。
8,做完手术会有两个眼睛视力不一样的情况吗？,眼睛是有主视眼之分的，所以视力是会有不一样的，恢复时间也会有所不同。
9,手术做完后多长时间不可以碰水？,当天可以洗脸，但是不要大面积地泼水，以免水进眼睛，建议一周内都使用一次性洗脸巾轻柔擦拭眼睛即可。
10,做全飞秒后还会再近视吗？再近视还能再做飞秒手术吗？,一般成年人的度数基本稳定了，除非有大量的近距离用眼工作才会导致近视度数进展。所以，手术后建议用眼工作一个小时休息5-10分钟，避免连续长时间用眼工作。一部分人经过评估，是可以再次接受近视矫正手术的。
11,做手术需要多久？,手术过程很快，但做完手术之后需要滴眼药水，观察一下，建议您预留一个下午的时间。
12,手术后视力完全恢复需要多久时间？,一般来说手术后一周，视力稳定清晰，达到手术预期效果，但个体差异恢复程度会有所不同。
13,我年纪大了，能不能做手术？,手术没有具体的年龄上限，一般来说是在55岁，但是还要根据您的眼睛检查情况和度数，经过医生的评估，再看能不能做手术。
14,做完手术后会加快老花吗？,不会，随着年龄的增长，晶状体的弹性下降，眼部功能减退引起老花，和手术无关，也别担心这是自然规律，不属于病理状态。
15,全飞秒手术做完之后，等老了可以做白内障手术吗？,全飞秒手术是在眼球表面的手术，白内障是在眼球内做手术两者相互没有影响。
16,做完激光手术之后会加快白内障吗？,手术本身是不会加快白内障的，白内障是一个老年性疾病，与你的年龄相关，像高度近视的人，本身比别人得白内障的几率会高一些。
17,做完手术后眼睛为什么会模糊？术后第二天为什么会眩光？,手术后短时间内角膜还没有恢复，所以会有暂时性的模糊。术后第二天的炫光也是这个原因。
18,我想一天就把术检和手术做完可以吗？,如果当天检查当天手术，一般要在检查后等6个小时左右才可以手术。也有可能等了6个小时，不能达到做手术的要求，还要继续等，或者改天进行手术，以上请您了解一下。
19,我想拿走病历报告可以吗？,您好，这个病历是需要留在我们这的，我可以给您拍照。纸质的只有一份，你拿走了我们就没有了。那如果要手术的话就要重新再做一遍。
20,请问一般术后多长时间可以开车?,以往的客人90%都是术后次日自驾来医院复诊的。驾驶的安全性需要客人自己评估，感觉可以就开车，感觉不可以就不要勉强。
21,做完手术会影响顺产吗？,不会有影响，是否顺产是产科医生评估的。
22,我在哺乳期可以手术吗？,哺乳期不是绝对禁忌症，尤其是哺乳期后期是可以做的。不过建议做了手术就建议停止哺乳。
23,我在经期可以手术吗？,可以，女性在月经期间一般不会影响手术。
24,我有必要请专家做手术吗？,以我个人的观点来看，我们医院的医生做这个手术也是非常有经验的，从以往手术的效果来看和外院的专家没什么区别，至于选不选专家，选哪位专家还是要看您个人的想法。
25,激光手术，做一次效果有多久？,只要您屈光状态和视力稳定，不再变化，屈光手术是永久有效的，所以我们在手术之前会做一系列的检查和医生评估。
26,我在手术的时候坚持不了30秒怎么办？,做训练的时候，做好是眼睛包括全身都放松的看绿点，不要瞪着眼睛太用力的去看，反而眼睛坚持不了太久。其实手术中最重要的时刻只有10秒到20秒的时间，保持眼睛全身不动即可，手术中眼睛有撑睑器也会帮助您撑开眼睛。
27,手术后我可以在当地复查吗？,可以的，需要检查 电脑验光、眼压、视力。检查好后微信拍照发给我们看一下。
28,手术第二天我可以玩手机电脑吗？,不要连续看电脑、⼿机和电视时间太久，应给与眼睛充分休息的时间。如工作需要建议适当调整使用时间并每隔45分钟休息远眺望5-10分钟。无论是否手术，都需要合理⽤眼不要过于疲劳。
29,我介绍别人来做屈光手术有福利吗？,关于介绍新客人来医院做屈光手术的事，请示过领导了，介绍费这块暂时是没有的，这个是法律法规不允许的。但是我们可以送您一次光子嫩肤，介绍一名客人成功手术，送一次，市价在1200-1600。
30,我是不是可以当天检查当天就做近视眼手术？,如果度数稳定，前一天休息比较好，提前用了玻璃酸纳和左氧氟沙星滴眼液，可以的。
31,我在手术后有一些症状这正常吗？,您好，还不能根据你的描述就判断是否正常，需要通过检查医生来判断。
32,做手术安全吗？,我觉得手术安全取决于三个条件：医院手术的设备，医院医生的资质和经验，医院的服务。首先，我们医院手术设备是现在最先进最高的版本这个是百分百确定的；其次，我们的服务、医护对待所有的人都很用心；最后，最重要的是医生的技术，医疗的质量里面很大因素取决于医生，而不是医院的大小和公立的性质。
33,我在做注视训练的时候感觉到眼珠在一跳一跳的这是正常的吗？,正常的，眼球后面有动脉血管，类似于脉搏。让她不要压眼球太用力了。
34,做完手术之后视力能达到多少？,可以恢复到术前最佳戴镜视力，恢复时间因个体差异有所区别。
35,手术之后可以化妆，戴美瞳吗？,建议一个月之后再化妆，美瞳三个月之后但不建议，因为无论是否做过近视手术，软性眼镜都会对眼表角膜造成伤害。
36,我做完手术后，多久可以上班？,第二天可以正常上班，用眼，但应该合理安排用眼时间，无论是否做过手术，建议看手机电脑一小时闭眼休息5-10分钟，或者远眺。
37,我做完手术可以游泳吗？,1个月之后，可以佩戴泳镜，防止脏水污染。
38,请问什么是屈光不正？,通俗的讲就是近视、远视、散光的医学统称。
39,我在做近视手术前需要做哪些术前准备？,"①滴眼药水：
第一种药水“玻璃酸钠滴眼液”即刻就可以滴玻璃酸钠每天四次，早中晚饭睡觉前这四个时间。第二种药水左氧氟沙星沙星滴眼液。这种眼药水要在手术前三天开始用。就是几月几号开始每天点四次，在早中晚饭睡觉前这四个时间。点眼药水与饭前饭后没有关系，只是辅助你在吃饭的时候记起来点眼药水这件事情。每次在眼睛里点一滴就可以。因为我们的眼睛连一滴眼药水都盛不了的。这两种眼药水没有先后顺序，但是任意两种之间需要间隔5分钟。每天各四次，两种之间间隔五分钟不分先后。
  
②做注视训练：
在手术前最重要的一件事情是做注视练习。注视练习的方法是：用一只手遮挡住我们的其中一只眼睛，请注意遮住的这只眼睛要保持睁开的状态，然后用另外一只手伸直举起注释练习卡片，位置与眼睛平齐，用另一只眼睛盯住注视卡片中央的绿点，集中注意力尽量不眨眼保持30秒钟以上。用相同的方法进行另外一只眼睛的练习。如此交替往复每天练习五到六次。
 
③注意事项：从现在到手术日那一天，这中间不要再戴隐形眼镜，如果戴了隐形眼镜要隔七天之后才可以接受手术治疗。（1.普通隐形眼镜，停戴1周；RGP停戴1个月；角膜塑形镜（OK镜），停戴3个月。
这样才能让角膜恢复到一个稳定的形态，对于术前检查和手术来说，都是最大程度的做好矫正工作。）
手术前一天要洗头洗澡。手术日当天洗完脸之后，不要涂抹任何化妆品眼睛周围也不要化妆，术前眼部周围不能用化妆品（有假睫毛者请卸掉。好好休息，早早睡觉。"
40,手术是怎么做的？做手术会痛吗？,我们全飞秒激光的手术是无痛的，整个手术过程不用打针，也不会有血。在眼睛里面点几滴眼药水就会起到麻醉的作用，手术的时候会让你躺在一张床上，在正上方是机器设备，其中有一个绿色的一闪一闪的指示灯，这是我们需要集中注意力看的地方，也是体现我们术前注视练习效果的时候。整个手术过程中，不要晃动脑袋，也不要转动眼睛，也不要说话，注意仔细听医生的命令和讲解，按照医生的要求去做。如果在手术过程中出现了明显的不舒适状态，切切不要擅自行动，而是举手或者用手拍床边，向医生示意。医生同意后才能够进行下一步的动作。
41,为什么有些医生不做近视手术？,首先从近视激光手术的性质来说，它属于美容手术。有些医生戴了多年眼镜，摘下来可能自己看自己都不习惯，戴眼镜也不觉得负担，所以他们就不考虑近视激光，这不代表他们不认可这项手术。另外，全飞秒手术并不适用于所有人，而是全面检查眼底、角膜等情况后，医生才能判定患者是否适宜手术，有些人可能本来就不具备手术条件。平时大家只留意戴着眼镜的医生，没有留意更多不戴眼镜的医护人员其实是做过近视手术的。客观来说，医护选择接受激光手术的比例应该比正常人群还要多一些。
42,为什么要做术前检查？,因为手术不光要知道您的度数，最佳矫正度数，还要了解您的眼睛是否有您未知的眼科疾病，还有角膜厚度情况等等的问题。这些都是在术前我们和您都必须清楚知道的。
43,全飞秒手术和半飞秒手术的有什么区别？,"全飞秒手术：微创切口，无需制作角膜瓣，术中不适感降低、一次性飞秒激光制作微透镜时间短，术后恢复快。尤其适合有激烈运动需求的群体，比如运动员、军人及好动的年轻人等。
半飞秒手术：采用准分子激光角膜切削和飞秒激光制瓣相结合，术中安全、无痛，矫正度数范围较广，如远视、老视、一定范围内的薄角膜、高度数、高散光等均是适宜人群。"
44,做近视激光手术安全吗？,近视激光矫正手术开展至今已有30年，每个发展阶段都在不断提升技术，尤其是全飞秒近视激光手术，不管是安全性、精准性、预测性，还是手术的远期疗效，临床均已得到反馈，目前来说，是安全性比较高的摘镜选择。
45,做完近视手术后会不会复发？,极少数的患者会出现术后视力回退的情况。在手术前，医生会对您进行详细的询问，比如近视度数是否有发展。一般在近视度数稳定的情况下，才会给您进行近视手术，这样就降低了术后近视再次复发的可能性。若术后再有近视情况岀现，可以在眼睛条件允许的情况下，再次进行近视手术的矫正。
46,全飞秒手术用什么做，怎么做？,只有一种设备可以做全飞秒“德国蔡司公司生产的Visu Max”全飞秒激光设备。全飞秒作为目前的主流屈光手术方式，其优势在于没有角膜瓣，避免了传统Lasik手术角膜瓣的风险和并发症，另外全飞秒手术切口很小，只有2-4mm，它的损伤也是非常小的，术后恢复非常快，对日常工作生活影响不大。
47,晶体植入散光片会比不带散光更容易移动吗？,晶体是否会移位与晶体是不是散光晶体无关，只是散光晶体会因为移位产生影响。
48,我之前检查的时候，暗瞳是多少？数据是什么？,暗瞳的大小会根据光线的明暗变化的，在我们检测设备上测得的数据是5mm，数据仅供参考。
49,我能把晶体和散光分成两个手术做吗？,"按照您所说的,散光是可以用半飞秒做，但是会加收12000元半飞的费用，另外晶体移位的情况是很少的，尤其是我们的团队是沈晔教授位核心的，手术质量和效果都很好。"
50,术后矫正视力可以超过之前戴眼镜的视力吗？,一般情况术后视力可达术前最佳矫正视力，视力在国际上0.8以上为正常，中国以1.0以上为正常，调节功能正常无弱视人群，单眼视力术后均在1.0左右，双眼视力1.0或者1.0以上，每个人调节功能不同，如果患者眼睛的调节功能比较好，术后可以达到1.2甚至更高。
51,我这种左眼100右眼200无散光的推荐做手术吗？,推荐可以做近视手术。术前检查大概需要2小时。如果检查数据无异常一次检查就可以确定手术数据及手术方式。如果检查数据需要再次确定，那需要术前再次复查。再次复查时间大概是1小时的样子。